共 921 部电影

('4', '尸地禁区')
('4', '吸血夜惊魂')
('4', '不许向上看')
('3.9', '鬼店另有主')
('3.9', '自动注射')
('3.9', '对抗黑暗')
('3.9', '午夜寻访录')
('3.8', '红沙')
('3.8', '灾难之城')
('3.8', '深入阴宅')
('3.8', '僵尸日记2')
('3.8', '停电夜杀手')
('3.8', '倒带')
('3.7', '龙之战争')
('3.7', '龙之战')
('3.7', '活人坟场')
('3.7', '普罗旺斯惊魂记')
('3.7', '午夜微博')
('3.6', '阿富汗骑士')
('3.6', '缠身')
('3.6', '沼泽传说')
('3.6', '新尸骨无存')
('3.6', '御姐玫瑰')
('3.6', '上身')
('3.6', 'Z-108弃城')
('3.6', '24号储藏室')
('3.5', '鬼蟑螂')
('3.5', '笔仙撞碟仙')
('3.5', '死亡军团')
('3.5', '夜惊魂')
('3.5', '午夜凶梦')
('3.5', '入侵脑细胞2')
('3.5', '三更车库')
('3.4', '致命虫灾')
('3.4', '毒岛')
('3.4', '战争的恐怖')
('3.4', '恶灵之门')
('3.4', '尖叫的女妖')
('3.4', '妖医')
('3.4', '吸血莱恩3：第三帝国')
('3.4', '傀儡王：邪恶轴心')
('3.3', '鬼精灵：起源')
('3.3', '诡新娘')
('3.3', '半夜叫你别回头')
('3.3', '仓库十三小时')
('3.2', '鬼名模')
('3.2', '笔仙惊魂')
('3.2', '笔仙归来')
('3.2', '沼泽狂鲨')
('3.2', '人体蜈蚣3')
('3.1', '等着你回来')
('3.1', '秋劫')
('3.1', '墨西哥狼人')
('3.1', '午夜心跳')
('3', '章鲨')
('3', '活尸战场')
('2.9', '雨夜惊魂')
('2.9', '笔仙魔咒')
('2.9', '灵臆事件')
('2.9', '死亡游戏')
('2.9', '孤岛惊魂')
('2.8', '鲨鱼啾大战乌贼娘')
('2.8', '诡娃娃')
('2.8', '疯狂木乃伊')
('2.8', '留校察看')
('2.8', '床下有人3')
('2.7', '筷仙')
('2.7', '校花诡异事件')
('2.7', '床下有人')
('2.7', '孤岛惊魂2')
('2.7', '劫杀枕边人')
('2.7', '利斧巨人:保罗班扬的愤怒')
('2.7', '七月半2：前世今生')
('2.6', '幽灵医院')
('2.6', '丧尸屠城')
('2.5', '诡梦凶铃')
('2.5', '诡娃')
('2.5', '致命请柬')
('2.5', '恐怖游泳馆')
('2.5', '催命符之劫后重生')
('2.4', '玩命剧组')
('2.4', '死亡笔记')
('2.4', '万能钥匙2：野兽的667号邻居')
('2.2', '吉祥酒店')
('2.1', '白日杀机')
('1.7', '电锯少女血肉之华')
('0', '驱魔')
('0', '非礼勿视2')
('0', '隔山有眼2')
('0', '螺丝在拧紧')
('0', '致命弯路')
('0', '聊斋新编之画皮新娘')
('0', '汉尼拔')
('0', '母亲节')
('0', '死亡阴影')
('0', '歇斯底里')
('0', '护士3D')
('0', '我唾弃你的坟墓：复仇在我')
('0', '尸骨无存：零号病人')
('0', '寄生兽')
('0', '女魔')
('0', '不请自来')
