共 593 部电影

('4.5', '肩上蝶')
('4.5', '摩尔庄园3：魔幻列车大冒险')
('4.4', '神兵小将')
('4.4', '生肖传奇')
('4.3', '鼠来宝4：萌在囧途')
('4.3', '魔比斯环')
('4.3', '金箍棒传奇2：沙僧的逆袭')
('4.3', '藏羚王之雪域精灵')
('4.2', '新大头儿子和小头爸爸2一日成才')
('4.2', '摩尔庄园2海妖宝藏')
('4.2', '圣诞大赢家')
('4.2', '功夫小子')
('4.2', '三只小猪与神灯')
('4.1', '虎王归来')
('4.1', '猪猪侠之囧囧危机')
('4.1', '潜艇总动员5：时光宝盒')
('4', '少年师爷之大禹宝藏')
('4', '小蚂蚁之环球大冒险')
('3.9', '小英雄雨来')
('3.8', '精灵女孩小卓玛')
('3.8', '梦回金沙城')
('3.7', '爵迹')
('3.7', '今天·明天')
('3.7', '东海战')
('3.6', '青蛙总动员')
('3.5', '黑猫警长之翡翠之星')
('3.5', '马小乐之玩具也疯狂')
('3.5', '奥拉星：进击圣殿')
('3.3', '长江7号：超萌特攻队')
('3.3', '白雪公主之神秘爸爸')
('3.3', '猪猪侠之终极决战')
('3.3', '斗龙战士之星印罗盘')
('3.3', '寻找成龙')
('3.3', '兔子镇的火狐狸')
('3.1', '熊猫总动员')
('3.1', '我是大熊猫')
('3', '我爱灰太狼')
('2.8', '阿里巴巴2所罗门封印')
('2.8', '极地大反攻')
('2.4', '超能兔战队')
('2.3', '赛尔号大电影5：雷神崛起')
('2.3', '皇帝的新装之圣诞大明星')
('2.3', '我是大熊猫之熊猫大侠')
('2.2', '莫日根')
('2.1', '汽车人总动员')
('1.1', '西柏坡2：英雄王二小')
('0', '舞林熊猫')
('0', '正义联盟：亚特兰蒂斯王座')
('0', '新东方神娃')
('0', '小熊的夏天')
('0', '史酷比:舞台风波')
('0', '七剑上天山')
('0', 'X战警')
